Date;Close;CloseDolar
2007-03-19;20.13;9.68
2007-03-20;20.13;9.69
2007-03-21;20.19;9.8
2007-03-22;20.25;9.83
2007-03-23;20.29;9.84
2007-03-26;20.15;9.78
2007-03-27;20.13;9.76
2007-03-28;20.01;9.67
2007-03-29;20.05;9.81
2007-03-30;19.95;9.68
2007-04-02;19.8;9.67
2007-04-03;19.8;9.72
2007-04-04;19.64;9.66
2007-04-05;19.56;9.63
2007-04-09;19.48;9.62
2007-04-10;19.44;9.58
2007-04-11;19.3;9.47
2007-04-12;19.2;9.44
2007-04-13;19.22;9.51
2007-04-16;19.17;9.41
2007-04-17;19.14;9.4
2007-04-18;19.17;9.43
2007-04-19;19.02;9.37
2007-04-20;19;9.37
2007-04-23;18.95;9.31
2007-04-24;18.92;9.3
2007-04-25;18.81;9.31
2007-04-26;18.85;9.3
2007-04-27;18.92;9.31
2007-04-30;18.73;9.2
2007-05-02;18.68;9.23
2007-05-03;18.72;9.23
2007-05-04;18.75;9.21
2007-05-07;18.69;9.25
2007-05-08;18.7;9.25
2007-05-09;18.76;9.29
2007-05-10;18.7;9.24
2007-05-11;18.62;9.22
2007-05-14;18.63;9.28
2007-05-15;18.6;9.38
2007-05-16;18.7;9.58
2007-05-17;18.68;9.57
2007-05-18;18.76;9.57
2007-05-21;18.85;9.72
2007-05-22;18.9;9.72
2007-05-23;19.14;9.81
2007-05-24;19.22;9.75
2007-05-25;19.26;9.87
2007-05-28;19.39;9.98
2007-05-29;19.51;10
2007-05-30;19.57;10.08
2007-05-31;19.67;10.21
2007-06-01;19.67;10.33
2007-06-04;19.61;10.17
2007-06-05;19.68;10.12
2007-06-06;19.7;10.09
2007-06-08;19.81;10.11
2007-06-11;19.84;10.23
2007-06-12;19.81;10.18
2007-06-13;19.79;10.17
2007-06-14;19.75;10.25
2007-06-15;19.86;10.38
2007-06-18;19.86;10.42
2007-06-19;19.72;10.35
2007-06-20;19.6;10.16
2007-06-21;19.52;10.18
2007-06-22;19.49;10.03
2007-06-25;19.38;9.93
2007-06-26;19.21;9.83
2007-06-27;19.23;9.89
2007-06-28;19.07;9.92
2007-06-29;19.01;9.85
2007-07-02;19.01;9.93
2007-07-03;18.92;9.9
2007-07-04;18.85;9.87
2007-07-05;18.77;9.81
2007-07-06;18.74;9.85
2007-07-10;18.64;9.85
2007-07-11;18.69;9.88
2007-07-12;18.72;9.99
2007-07-13;18.65;10.02
2007-07-16;18.66;9.97
2007-07-17;18.74;10.08
2007-07-18;18.83;10.12
2007-07-19;18.96;10.22
2007-07-20;19.02;10.25
2007-07-23;19.16;10.4
2007-07-24;19.25;10.34
2007-07-25;19.26;10.31
2007-07-26;19.33;10.03
2007-07-27;19.37;10.22
2007-07-30;19.39;10.34
2007-07-31;19.41;10.31
2007-08-01;19.59;10.36
2007-08-02;19.79;10.56
2007-08-03;20.09;10.57
2007-08-06;20.26;10.63
2007-08-07;20.53;10.77
2007-08-08;20.83;11.04
2007-08-09;20.74;10.77
2007-08-10;21.03;10.77
2007-08-13;21.47;11.05
2007-08-14;21.81;10.99
2007-08-15;22.14;10.9
2007-08-16;22.49;10.75
2007-08-17;23.17;11.44
2007-08-20;23.24;11.45
2007-08-21;23.42;11.51
2007-08-22;23.44;11.65
2007-08-23;23.35;11.74
2007-08-24;23.34;12.02
2007-08-27;23.33;11.96
2007-08-28;23.51;11.74
2007-08-29;23.71;12.06
2007-08-30;23.9;12.11
2007-08-31;23.88;12.17
